expid, time, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, 
trial0000017, 000240, AA, 0, 2, 0.000000, GDX, 8, 4, 2.000000, SNPR, 34, 8, 4.250000, ZIP, 27, 18, 1.500000, 98, 100, 
trial0000017, 000240, AA, 3, 2, 1.555556, GDX, 126, 4, 31.722222, SNPR, 76, 10, 7.600000, ZIP, 20, 18, 1.111111, 95, 97, 
trial0000018, 000240, AA, 68, 2, 34.432099, GDX, 9, 4, 2.250000, SNPR, 54, 10, 5.413580, ZIP, 93, 16, 5.812500, 95, 99, 
trial0000018, 000240, AA, 20, 4, 5.126543, GDX, 9, 4, 2.373457, SNPR, 11, 10, 1.100000, ZIP, 124, 16, 7.750000, 98, 102, 
trial0000019, 000240, AA, 22, 2, 11.000000, GDX, 91, 4, 22.750000, SNPR, 38, 12, 3.166667, ZIP, 152, 14, 10.857143, 96, 102, 
trial0000019, 000240, AA, 39, 2, 20.000000, GDX, 54, 6, 9.111111, SNPR, 43, 12, 3.583333, ZIP, 81, 14, 5.809524, 98, 100, 
trial0000020, 000240, AA, 63, 2, 31.991667, GDX, 29, 4, 7.250000, SNPR, 56, 14, 4.000000, ZIP, 113, 12, 9.418056, 97, 100, 
trial0000020, 000240, AA, 96, 4, 24.197417, GDX, 84, 4, 21.055556, SNPR, 53, 14, 3.856294, ZIP, 60, 12, 5.000000, 100, 102, 
trial0000021, 000240, AA, 32, 2, 16.000000, GDX, 57, 4, 14.333333, SNPR, 60, 16, 3.750000, ZIP, 46, 10, 4.666667, 99, 100, 
trial0000021, 000240, AA, 63, 4, 15.815844, GDX, 75, 4, 18.833333, SNPR, 75, 16, 4.708333, ZIP, 52, 10, 5.206996, 96, 101, 
trial0000022, 000240, AA, 13, 2, 6.781631, GDX, 9, 4, 2.416667, SNPR, 83, 18, 4.653893, ZIP, 22, 8, 2.750000, 95, 102, 
trial0000022, 000240, AA, 21, 4, 5.320327, GDX, 57, 4, 14.250000, SNPR, 53, 18, 2.965853, ZIP, 81, 8, 10.166667, 98, 100, 
trial0000023, 000240, AA, 27, 2, 13.666667, GDX, 59, 4, 14.916667, SNPR, 69, 20, 3.450000, ZIP, 60, 6, 10.000000, 97, 99, 
trial0000023, 000240, AA, 58, 2, 29.333333, GDX, 60, 6, 10.000000, SNPR, 83, 20, 4.150000, ZIP, 34, 6, 5.722222, 97, 101, 
trial0000024, 000240, AA, 14, 2, 7.333333, GDX, 14, 4, 3.500000, SNPR, 63, 22, 2.878788, ZIP, 35, 4, 8.750000, 96, 102, 
trial0000024, 000240, AA, 69, 2, 34.555556, GDX, 59, 4, 14.750000, SNPR, 60, 22, 2.727273, ZIP, 69, 6, 11.648148, 96, 103, 
trial0000025, 000240, AA, 15, 2, 7.500000, GDX, 11, 4, 2.750000, SNPR, 94, 24, 3.916667, ZIP, 0, 2, 0.000000, 95, 104, 
trial0000025, 000240, AA, 41, 4, 10.495455, GDX, 44, 4, 11.194444, SNPR, 114, 24, 4.787795, ZIP, 11, 2, 5.666667, 99, 101, 
trial0000026, 000240, AA, 54, 2, 27.000000, GDX, 30, 6, 5.000000, SNPR, 26, 2, 13.000000, ZIP, 45, 22, 2.045455, 101, 102, 
